"ensembl_gene_id","logFC","P.Value","adj.P.Val","comparison"
"ENSMUSG00000025508",0.341655760675128,5.47409534094211e-05,0.00388572477346552,"4h_vs_0h"
"ENSMUSG00000046434",-0.233129751569656,5.57892542450934e-05,0.00389727790369295,"4h_vs_0h"
"ENSMUSG00000023456",0.419135003467229,5.92740181780259e-05,0.00407601490627331,"4h_vs_0h"
"ENSMUSG00000025153",0.47266160193335,6.04770150761004e-05,0.00409475912846028,"4h_vs_0h"
"ENSMUSG00000030695",0.436307326644169,6.19203844956925e-05,0.00412896382069004,"4h_vs_0h"
"ENSMUSG00000028495",0.377928250351594,6.2954374685058e-05,0.00413525676102896,"4h_vs_0h"
"ENSMUSG00000024747",0.43555246100788,6.4028645045629e-05,0.00414397157126196,"4h_vs_0h"
"ENSMUSG00000041459",-0.359278573845678,6.59945469862992e-05,0.00420930436647395,"4h_vs_0h"
"ENSMUSG00000049517",0.271251036376444,7.59341128019253e-05,0.00477408614916105,"4h_vs_0h"
"ENSMUSG00000039630",-0.175847170729483,8.02670512604599e-05,0.00492074363183994,"4h_vs_0h"
"ENSMUSG00000036752",0.229458759200291,8.05029633020849e-05,0.00492074363183994,"4h_vs_0h"
"ENSMUSG00000018293",0.322719272964008,8.31444689038967e-05,0.00501258640611027,"4h_vs_0h"
"ENSMUSG00000027187",-0.307421349788932,8.45507797358652e-05,0.0050284862380749,"4h_vs_0h"
"ENSMUSG00000016554",0.335460599369373,8.84023300112616e-05,0.00518744872506083,"4h_vs_0h"
"ENSMUSG00000033306",0.294222717002022,9.07908459369302e-05,0.00521146893142003,"4h_vs_0h"
"ENSMUSG00000025950",0.462640219713936,9.1450745111401e-05,0.00521146893142003,"4h_vs_0h"
"ENSMUSG00000010095",-0.315236787153314,9.23641392071716e-05,0.00521146893142003,"4h_vs_0h"
"ENSMUSG00000091228",0.314643480304927,9.8506879882666e-05,0.00533763190295679,"4h_vs_0h"
"ENSMUSG00000025190",0.677092747186059,9.90749022927878e-05,0.00533763190295679,"4h_vs_0h"
"ENSMUSG00000020114",0.448415331242256,0.000100348116470096,0.00533763190295679,"4h_vs_0h"
"ENSMUSG00000025982",-0.260413673223145,0.000101339917396629,0.00533763190295679,"4h_vs_0h"
"ENSMUSG00000031960",0.39447554462971,0.000101639321291177,0.00533763190295679,"4h_vs_0h"
"ENSMUSG00000037197",-0.283483554733177,0.000101877091535644,0.00533763190295679,"4h_vs_0h"
"ENSMUSG00000039367",0.586583235085513,0.000106658619867407,0.00548853360916697,"4h_vs_0h"
"ENSMUSG00000039253",3.82383938615637,0.000107251508836255,0.00548853360916697,"4h_vs_0h"
"ENSMUSG00000025613",0.45938548453617,0.000108609105194738,0.00549412266623037,"4h_vs_0h"
"ENSMUSG00000042524",-0.305597682679053,0.000111047861907034,0.00555365500287337,"4h_vs_0h"
"ENSMUSG00000060803",0.396153809481426,0.000117775641774048,0.00582393931963578,"4h_vs_0h"
"ENSMUSG00000018796",-0.327199097728837,0.00012062128359169,0.00588245961949544,"4h_vs_0h"
"ENSMUSG00000024587",0.429499989542268,0.000121806138816732,0.00588245961949544,"4h_vs_0h"
"ENSMUSG00000027406",-0.209119913145372,0.000122968935467753,0.00588245961949544,"4h_vs_0h"
"ENSMUSG00000022982",0.596155345862467,0.000131847343733905,0.00623935655669804,"4h_vs_0h"
"ENSMUSG00000027879",-0.238312588335248,0.000136881160201955,0.00640865942605112,"4h_vs_0h"
"ENSMUSG00000046865",-0.341625233804432,0.000139059582641131,0.00644211813898543,"4h_vs_0h"
"ENSMUSG00000005103",0.450465205972577,0.000142456625215613,0.00646453326602282,"4h_vs_0h"
"ENSMUSG00000059534",-0.725233198888194,0.000142481192184552,0.00646453326602282,"4h_vs_0h"
"ENSMUSG00000005683",-0.280212261311462,0.000144504819950407,0.00648944604695655,"4h_vs_0h"
"ENSMUSG00000007029",0.357757610758917,0.000150376504773324,0.00668491916674139,"4h_vs_0h"
"ENSMUSG00000033813",0.551165222398922,0.000153286818363356,0.0067461528761713,"4h_vs_0h"
"ENSMUSG00000036707",3.12158658925318,0.000168550271574305,0.00734445292275758,"4h_vs_0h"
"ENSMUSG00000040945",0.509146023224247,0.000171036988278214,0.0073797429942394,"4h_vs_0h"
"ENSMUSG00000071072",0.532222437109571,0.000175565906249417,0.00742239174524628,"4h_vs_0h"
"ENSMUSG00000028820",-0.211259606223141,0.000179188336429022,0.00742239174524628,"4h_vs_0h"
"ENSMUSG00000021131",-0.234161250440795,0.000179629781718526,0.00742239174524628,"4h_vs_0h"
"ENSMUSG00000027597",0.483701178011803,0.000181703605070046,0.00742239174524628,"4h_vs_0h"
"ENSMUSG00000045136",0.523917056800332,0.000182138726875648,0.00742239174524628,"4h_vs_0h"
"ENSMUSG00000063870",-0.146649547112613,0.00018214458270543,0.00742239174524628,"4h_vs_0h"
"ENSMUSG00000023019",0.462055839908789,0.000187968216565989,0.00758943230373317,"4h_vs_0h"
"ENSMUSG00000020572",0.535021563862646,0.000193451132107677,0.00772658683207027,"4h_vs_0h"
"ENSMUSG00000037851",0.436736785927419,0.000194876423167416,0.00772658683207027,"4h_vs_0h"
"ENSMUSG00000037236",-0.278209787365689,0.000197933182822152,0.00773233357096888,"4h_vs_0h"
"ENSMUSG00000028063",-0.227425242159999,0.00020014669772863,0.00773233357096888,"4h_vs_0h"
"ENSMUSG00000020936",0.396387191494284,0.000200292212472268,0.00773233357096888,"4h_vs_0h"
"ENSMUSG00000031782",-0.482820701327828,0.000204000842452805,0.00780702354465038,"4h_vs_0h"
"ENSMUSG00000005514",-0.200785797553714,0.000207817402265108,0.00783488964487446,"4h_vs_0h"
"ENSMUSG00000062908",-0.255646562328145,0.000209779522811097,0.00783488964487446,"4h_vs_0h"
"ENSMUSG00000024507",-0.431475483119861,0.000210069751896202,0.00783488964487446,"4h_vs_0h"
"ENSMUSG00000030861",-0.350984753834151,0.000222695551140828,0.00822079744036912,"4h_vs_0h"
"ENSMUSG00000063273",0.425142189273064,0.000224152622777617,0.00822079744036912,"4h_vs_0h"
"ENSMUSG00000025980",-0.162727705352886,0.000228844786427779,0.00832351987660046,"4h_vs_0h"
"ENSMUSG00000060012",2.45754516129689,0.000236558063506518,0.00853354129091957,"4h_vs_0h"
"ENSMUSG00000058586",-0.322973457690104,0.000241350316318855,0.00860319184515893,"4h_vs_0h"
"ENSMUSG00000028029",0.426510460671739,0.000242398497795889,0.00860319184515893,"4h_vs_0h"
"ENSMUSG00000032301",0.319731100026011,0.000252100797875678,0.00887596489160687,"4h_vs_0h"
"ENSMUSG00000001473",0.300970295769748,0.000283758778645097,0.00989593491788592,"4h_vs_0h"
"ENSMUSG00000007850",-0.215976770148711,0.000285567765183257,0.00989593491788592,"4h_vs_0h"
"ENSMUSG00000036323",0.448467886866379,0.000294926312455275,0.0101192783223552,"4h_vs_0h"
"ENSMUSG00000032959",0.440233193386405,0.000297800284689185,0.0101192783223552,"4h_vs_0h"
"ENSMUSG00000020790",0.717995783500132,0.000298910743446076,0.0101192783223552,"4h_vs_0h"
"ENSMUSG00000029455",-0.191068891730865,0.000307986150512775,0.0103469240336391,"4h_vs_0h"
"ENSMUSG00000011752",0.350636399203118,0.000311853023679577,0.0103558023526214,"4h_vs_0h"
"ENSMUSG00000001175",0.520734761451003,0.000312956535537071,0.0103558023526214,"4h_vs_0h"
"ENSMUSG00000007564",0.248703370250389,0.000329220459585082,0.0108126809151787,"4h_vs_0h"
"ENSMUSG00000058558",0.230124934686717,0.000346118440662692,0.0112834611656038,"4h_vs_0h"
