"ensembl_gene_id","logFC","P.Value","adj.P.Val"
"ENSMUSG00000023456",0.419135003467229,5.89759424467945e-05,0.00125015379218994
"ENSMUSG00000031782",-0.482820701327828,5.90847509146804e-05,0.00125015379218994
"ENSMUSG00000030536",0.367566572048244,6.1508863056814e-05,0.00129521773355521
"ENSMUSG00000019920",0.476332399183011,6.30617237491802e-05,0.00131708663232657
"ENSMUSG00000029713",-0.312912732452581,6.31459394276088e-05,0.00131708663232657
"ENSMUSG00000025153",0.472661601933346,6.35692940357011e-05,0.00131966256156189
"ENSMUSG00000031672",-0.24487616834525,6.4553922031267e-05,0.00132949241034106
"ENSMUSG00000005610",0.242099460440947,6.47824807380079e-05,0.00132949241034106
"ENSMUSG00000071866",0.284480529119165,6.49490725342713e-05,0.00132949241034106
"ENSMUSG00000020075",-0.277016403452361,6.59645114015496e-05,0.00134049941625965
"ENSMUSG00000057278",-0.325373534286616,6.60959721264131e-05,0.00134049941625965
"ENSMUSG00000039630",-0.17584717072949,6.98056235115357e-05,0.0014092410507994
"ENSMUSG00000020290",0.353921679755423,7.0955602954437e-05,0.00142591602101588
"ENSMUSG00000029817",-0.43330357079293,7.31577898603067e-05,0.00146348833261459
"ENSMUSG00000032407",-0.281470232596948,7.44196689395125e-05,0.00148199530770495
"ENSMUSG00000033306",0.294222717002022,7.53982747366916e-05,0.00148561980738992
"ENSMUSG00000056076",0.318251628794773,7.54830498198653e-05,0.00148561980738992
"ENSMUSG00000036752",0.229458759200291,7.56565145865545e-05,0.00148561980738992
"ENSMUSG00000072946",0.654594619861157,7.64564445483386e-05,0.00148561980738992
"ENSMUSG00000009470",0.231323740981768,7.65738512378196e-05,0.00148561980738992
"ENSMUSG00000021116",0.420783996027946,7.66270611855289e-05,0.00148561980738992
"ENSMUSG00000027405",-0.225097915204124,7.91286001463854e-05,0.00152250074866769
"ENSMUSG00000027879",-0.238312588335255,7.92337703554191e-05,0.00152250074866769
"ENSMUSG00000030770",0.505820481038256,7.95671829569571e-05,0.00152250074866769
"ENSMUSG00000040945",0.509146023224247,8.04662636921777e-05,0.00152848688981273
"ENSMUSG00000031960",0.394475544629703,8.05746326826978e-05,0.00152848688981273
"ENSMUSG00000004980",-0.326352498375286,8.22340822034668e-05,0.00155327122651269
"ENSMUSG00000006378",-0.303317637325879,8.3619906129388e-05,0.00157269746527964
"ENSMUSG00000024587",0.429499989542268,8.4233926682855e-05,0.00157473145918773
"ENSMUSG00000030695",0.436307326644169,8.44436774297442e-05,0.00157473145918773
"ENSMUSG00000042524",-0.305597682679061,8.56214623770168e-05,0.00158719347658379
"ENSMUSG00000040618",-0.208516813280553,8.58332304991913e-05,0.00158719347658379
"ENSMUSG00000021178",0.23269847923649,8.81564716609057e-05,0.00162333318736254
"ENSMUSG00000028270",0.978004613525243,9.027174499261e-05,0.00165042445014657
"ENSMUSG00000078713",-0.500164660701998,9.03777079039591e-05,0.00165042445014657
"ENSMUSG00000025228",0.3340174782182,9.17488136271805e-05,0.00166853937509596
"ENSMUSG00000042165",0.487888556848358,9.43209639828714e-05,0.00170825745880089
"ENSMUSG00000025950",0.462640219713936,9.5496791902804e-05,0.00172246467690263
"ENSMUSG00000024767",0.35512255035535,9.78787647095589e-05,0.00175794283523021
"ENSMUSG00000062867",0.41677822981481,9.8262653366651e-05,0.00175794283523021
"ENSMUSG00000027479",0.38194737858927,9.96242839367371e-05,0.00177508693767441
"ENSMUSG00000001642",0.365822516508565,0.000100203940016911,0.00177695616073961
"ENSMUSG00000037197",-0.283483554733177,0.000100536715297469,0.00177695616073961
"ENSMUSG00000025369",-0.226555029515378,0.000104925851713493,0.00184711469356433
"ENSMUSG00000039253",3.82383938615636,0.000106945080381731,0.00187516055282867
"ENSMUSG00000027531",0.381095242412727,0.000109056223714597,0.00190389106719743
"ENSMUSG00000005103",0.450465205972577,0.000109448861622574,0.00190389106719743
"ENSMUSG00000022814",0.306909233779216,0.000110603357568404,0.00191639912070294
"ENSMUSG00000001441",0.353855773580015,0.000111117452122461,0.00191775649721942
"ENSMUSG00000037149",0.326099318314434,0.000113962131307359,0.00194236672843168
"ENSMUSG00000027406",-0.209119913145372,0.000114073068722716,0.00194236672843168
"ENSMUSG00000028911",-0.382765740506336,0.000114188962360855,0.00194236672843168
"ENSMUSG00000028954",0.434162746361508,0.000114439055996967,0.00194236672843168
"ENSMUSG00000028029",0.426510460671732,0.000114750136194555,0.00194236672843168
"ENSMUSG00000021218",0.533445918463649,0.000116185323169821,0.00195912493207044
"ENSMUSG00000026020",-0.220870475448251,0.000117492586460219,0.00197360638553979
"ENSMUSG00000035960",0.318101450539739,0.000118563852968961,0.00197442888176319
